instance_id,genre
1,Opera
2,Hip-Hop
3,Blues
4,Jazz
5,Jazz
6,R&B
7,Alternative
8,Pop
9,Opera
10,Classical
11,Jazz
12,Hip-Hop
13,Blues
14,Opera
15,Comedy
16,Comedy
17,Folk
18,Comedy
19,Folk
20,Classical
21,Blues
22,Pop
23,R&B
24,R&B
25,Comedy
26,Hip-Hop
27,Classical
28,Blues
29,Comedy
30,R&B
31,R&B
32,Blues
33,Pop
34,Hip-Hop
35,Opera
36,Comedy
37,Alternative
38,Alternative
39,R&B
40,Opera
41,Comedy
42,Alternative
43,R&B
44,Hip-Hop
45,Pop
46,Hip-Hop
47,Folk
48,Blues
49,Comedy
50,Blues
51,Pop
52,Folk
53,Classical
54,Blues
55,Alternative
56,Pop
57,R&B
58,Classical
59,Hip-Hop
60,Folk
61,Opera
62,Comedy
63,Folk
64,Jazz
65,R&B
66,Alternative
67,Pop
68,R&B
69,Pop
70,Comedy
71,Folk
72,Jazz
73,Classical
74,Folk
75,Alternative
76,Jazz
77,Comedy
78,Blues
79,R&B
80,Hip-Hop
81,Blues
82,Alternative
83,Folk
84,Classical
85,Classical
86,Blues
87,Opera
88,Alternative
89,Comedy
90,Jazz
91,Pop
92,R&B
93,Comedy
94,Alternative
95,Alternative
96,Comedy
97,Opera
98,Blues
99,R&B
100,Jazz
101,Comedy
102,R&B
103,Pop
104,Jazz
105,Pop
106,Alternative
107,Pop
108,Jazz
109,Folk
110,Jazz
111,Pop
112,Jazz
113,R&B
114,Pop
115,Pop
116,Pop
117,R&B
118,Opera
119,Pop
120,Folk
121,Comedy
122,Folk
123,Comedy
124,Classical
125,Hip-Hop
126,Alternative
127,Classical
128,Folk
129,Jazz
130,Classical
131,Opera
132,Comedy
133,Classical
134,Folk
135,Folk
136,Comedy
137,Opera
138,Folk
139,Folk
140,Pop
141,Pop
142,Opera
143,Comedy
144,Comedy
145,Comedy
146,Folk
147,Jazz
148,Blues
149,R&B
150,R&B
151,Pop
152,Hip-Hop
153,Comedy
154,Comedy
155,Jazz
156,Folk
157,Opera
158,Pop
159,Jazz
160,Hip-Hop
161,Classical
162,Blues
163,Folk
164,Opera
165,Jazz
166,Comedy
167,Pop
168,Hip-Hop
169,Opera
170,Jazz
171,Folk
172,Alternative
173,R&B
174,Blues
175,Pop
176,Blues
177,Hip-Hop
178,R&B
179,Blues
180,R&B
181,Blues
182,Blues
183,Hip-Hop
184,R&B
185,Pop
186,Comedy
187,Opera
188,Blues
189,Hip-Hop
190,Blues
191,Classical
192,Pop
193,Blues
194,Classical
195,R&B
196,Blues
197,Comedy
198,Folk
199,Pop
200,Folk
201,Classical
202,R&B
203,Opera
204,Alternative
205,R&B
206,Folk
207,Opera
208,Classical
209,Folk
210,Folk
211,Comedy
212,Pop
213,Alternative
214,Comedy
215,Folk
216,Alternative
217,Alternative
218,R&B
219,Pop
220,Blues
221,Comedy
222,Classical
223,Classical
224,Jazz
225,Alternative
226,Blues
227,Alternative
228,Jazz
229,Comedy
230,Classical
231,Blues
232,Classical
233,Comedy
234,Opera
235,Hip-Hop
236,Alternative
237,Blues
238,Opera
239,Pop
240,Opera
241,Pop
242,Comedy
243,Pop
244,Pop
245,R&B
246,Alternative
247,Comedy
248,Folk
249,Opera
250,Folk
251,Pop
252,Folk
253,Blues
254,Hip-Hop
255,Folk
256,Classical
257,Pop
258,Blues
259,Comedy
260,Folk
261,Folk
262,Classical
263,Jazz
264,Classical
265,Folk
266,Classical
267,Folk
268,Classical
269,Blues
270,Pop
271,Opera
272,R&B
273,Comedy
274,Folk
275,Comedy
276,Classical
277,Alternative
278,Classical
279,Comedy
280,Comedy
281,Classical
282,Comedy
283,Classical
284,Folk
285,Hip-Hop
286,Blues
287,Opera
288,Classical
289,Classical
290,Folk
291,R&B
292,R&B
293,Comedy
294,Hip-Hop
295,Hip-Hop
296,R&B
297,Jazz
298,Pop
299,Comedy
300,R&B
301,Alternative
302,Blues
303,Opera
304,Opera
305,Comedy
306,Classical
307,Jazz
308,Opera
309,Folk
310,Alternative
311,Folk
312,Blues
313,Comedy
314,Blues
315,Opera
316,Classical
317,Jazz
318,Jazz
319,Pop
320,Jazz
321,Hip-Hop
322,Blues
323,Pop
324,Jazz
325,Classical
326,Blues
327,Alternative
328,Alternative
329,R&B
330,Blues
331,Classical
332,Folk
333,Pop
334,Folk
335,Pop
336,Pop
337,Pop
338,Folk
339,Jazz
340,Alternative
341,Hip-Hop
342,Hip-Hop
343,Classical
344,Pop
345,Pop
346,Hip-Hop
347,Folk
348,Blues
349,Alternative
350,Pop
351,Hip-Hop
352,Pop
353,Jazz
354,Comedy
355,Comedy
356,Alternative
357,Blues
358,Alternative
359,Comedy
360,Blues
361,Opera
362,Opera
363,R&B
364,Comedy
365,Jazz
366,Folk
367,Blues
368,Blues
369,Opera
370,Pop
371,Classical
372,R&B
373,Folk
374,Classical
375,Jazz
376,Folk
377,Alternative
378,Folk
379,Jazz
380,Opera
381,Comedy
382,Opera
383,Blues
384,Folk
385,Comedy
386,Blues
387,Folk
388,R&B
389,R&B
390,Folk
391,Pop
392,Comedy
393,Hip-Hop
394,Comedy
395,R&B
396,Opera
397,Hip-Hop
398,Classical
399,Blues
400,Blues
401,Classical
402,R&B
403,Folk
404,Folk
405,Jazz
406,Classical
407,Folk
408,Pop
409,Alternative
410,Blues
411,Classical
412,Hip-Hop
413,Folk
414,Pop
415,Alternative
416,Jazz
417,Blues
418,Blues
419,R&B
420,Comedy
421,Opera
422,Blues
423,R&B
424,Hip-Hop
425,Alternative
426,Pop
427,Comedy
428,R&B
429,Jazz
430,Alternative
431,Alternative
432,Blues
433,Blues
434,Blues
435,Classical
436,Pop
437,Blues
438,Pop
439,Alternative
440,Pop
441,Comedy
442,Blues
443,Classical
444,Folk
445,Jazz
446,Comedy
447,R&B
448,Comedy
449,Folk
450,Comedy
451,Opera
452,Alternative
453,Hip-Hop
454,Jazz
455,Jazz
456,Blues
457,Comedy
458,Pop
459,Hip-Hop
460,Folk
461,Jazz
462,Blues
463,Pop
464,Jazz
465,Opera
466,Pop
467,Alternative
468,Jazz
469,Blues
470,Alternative
471,Blues
472,Alternative
473,Classical
474,Comedy
475,Pop
476,Alternative
477,R&B
478,Alternative
479,Comedy
480,Jazz
481,R&B
482,Pop
483,Comedy
484,Hip-Hop
485,Pop
486,Comedy
487,Blues
488,Hip-Hop
489,Blues
490,Opera
491,Blues
492,Alternative
493,Folk
494,R&B
495,Comedy
496,R&B
497,R&B
498,Jazz
499,Hip-Hop
500,Classical
501,Blues
502,R&B
503,Jazz
504,Alternative
505,Pop
506,Folk
507,R&B
508,Opera
509,Classical
510,Comedy
511,Blues
512,Opera
513,Pop
514,Classical
515,Pop
516,Folk
517,Pop
518,R&B
519,Alternative
520,Comedy
521,Jazz
522,Hip-Hop
523,Comedy
524,Pop
525,Pop
526,Jazz
527,Opera
528,R&B
529,Blues
530,Folk
531,Classical
532,Hip-Hop
533,Comedy
534,Opera
535,Folk
536,Folk
537,Comedy
538,Classical
539,Blues
540,Folk
541,R&B
542,Blues
543,Pop
544,Folk
545,Blues
546,Alternative
547,Pop
548,Opera
549,Opera
550,R&B
551,Hip-Hop
552,Comedy
553,Hip-Hop
554,Pop
555,Comedy
556,Pop
557,Jazz
558,Pop
559,Blues
560,Classical
561,Folk
562,Classical
563,Jazz
564,Alternative
565,Hip-Hop
566,Comedy
567,Opera
568,Classical
569,R&B
570,Comedy
571,Comedy
572,Blues
573,Hip-Hop
574,Blues
575,R&B
576,Pop
577,Pop
578,Jazz
579,Blues
580,Folk
581,Pop
582,Alternative
583,Pop
584,Blues
585,Comedy
586,Folk
587,Blues
588,Opera
589,Pop
590,Opera
591,R&B
592,Comedy
593,Opera
594,Alternative
595,Hip-Hop
596,Hip-Hop
597,R&B
598,Jazz
599,Folk
600,Pop
601,Jazz
602,Blues
603,Comedy
604,Alternative
605,Pop
606,Jazz
607,Folk
608,Hip-Hop
609,Alternative
610,Alternative
611,Hip-Hop
612,Jazz
613,Alternative
614,Folk
615,Comedy
616,R&B
617,Opera
618,Comedy
619,R&B
620,Classical
621,Hip-Hop
622,Folk
